,date,jz,ljjz,code
127,2020-03-11,1.8369,1.9145,001632
128,2020-03-10,1.8409,1.9185,001632
129,2020-03-09,1.8006,1.8782,001632
130,2020-03-06,1.8663,1.9439,001632
131,2020-03-05,1.8958,1.9734,001632
132,2020-03-04,1.8248,1.9024,001632
133,2020-03-03,1.796,1.8736,001632
134,2020-03-02,1.7814,1.859,001632
135,2020-02-28,1.7397,1.8173,001632
136,2020-02-27,1.8027,1.8803,001632
137,2020-02-26,1.7692,1.8468,001632
138,2020-02-25,1.7886,1.8662,001632
139,2020-02-24,1.7996,1.8772,001632
140,2020-02-21,1.817,1.8946,001632
141,2020-02-20,1.8197,1.8973,001632
142,2020-02-19,1.7728,1.8504,001632
143,2020-02-18,1.7545,1.8321,001632
144,2020-02-17,1.7608,1.8384,001632
145,2020-02-14,1.7408,1.8184,001632
146,2020-02-13,1.7427,1.8203,001632
147,2020-02-13,1.7427,1.8203,001632
148,2020-02-12,1.7631,1.8407,001632
149,2020-02-11,1.757,1.8346,001632
150,2020-02-10,1.7372,1.8148,001632
151,2020-02-07,1.7327,1.8103,001632
152,2020-02-06,1.7121,1.7897,001632
153,2020-02-05,1.682,1.7596,001632
154,2020-02-04,1.6623,1.7399,001632
155,2020-02-03,1.6425,1.7201,001632
156,2020-01-23,1.7706,1.8482,001632
157,2020-01-22,1.8366,1.9142,001632
158,2020-01-21,1.8363,1.9139,001632
159,2020-01-20,1.8744,1.952,001632
160,2020-01-17,1.8804,1.958,001632
161,2020-01-16,1.8839,1.9615,001632
162,2020-01-15,1.8796,1.9572,001632
163,2020-01-14,1.8683,1.9459,001632
164,2020-01-13,1.8914,1.969,001632
165,2020-01-10,1.8676,1.9452,001632
166,2020-01-09,1.8452,1.9228,001632
167,2020-01-08,1.8154,1.893,001632
168,2020-01-08,1.8154,1.893,001632
169,2020-01-07,1.8222,1.8998,001632
170,2020-01-06,1.7975,1.8751,001632
171,2020-01-03,1.8147,1.8923,001632
172,2020-01-02,1.8309,1.9085,001632
173,2019-12-31,1.834,1.9116,001632
174,2019-12-30,1.8277,1.9053,001632
175,2019-12-27,1.7922,1.8698,001632
176,2019-12-26,1.7776,1.8552,001632
177,2019-12-25,1.7708,1.8484,001632
178,2019-12-24,1.7847,1.8623,001632
179,2019-12-23,1.774,1.8516,001632
180,2019-12-20,1.786,1.8636,001632
181,2019-12-19,1.7876,1.8652,001632
182,2019-12-18,1.7976,1.8752,001632
183,2019-12-17,1.7989,1.8765,001632
184,2019-12-16,1.7835,1.8611,001632
185,2019-12-13,1.7873,1.8649,001632
186,2019-12-12,1.7637,1.8413,001632
187,2019-12-11,1.7701,1.8477,001632
188,2019-12-10,1.7824,1.86,001632
189,2019-12-10,1.7824,1.86,001632
190,2019-12-09,1.7828,1.8604,001632
191,2019-12-06,1.795,1.8726,001632
192,2019-12-05,1.7666,1.8442,001632
193,2019-12-04,1.7614,1.839,001632
194,2019-12-03,1.7611,1.8387,001632
195,2019-12-02,1.762,1.8396,001632
196,2019-11-29,1.7621,1.8397,001632
197,2019-11-28,1.7949,1.8725,001632
198,2019-11-27,1.8028,1.8804,001632
199,2019-11-26,1.8043,1.8819,001632
200,2019-11-25,1.7899,1.8675,001632
201,2019-11-22,1.7944,1.872,001632
202,2019-11-21,1.8345,1.9121,001632
203,2019-11-20,1.8423,1.9199,001632
204,2019-11-19,1.8401,1.9177,001632
205,2019-11-18,1.8254,1.903,001632
206,2019-11-15,1.8205,1.8981,001632
207,2019-11-14,1.8313,1.9089,001632
208,2019-11-13,1.8234,1.901,001632
209,2019-11-12,1.81,1.8876,001632
210,2019-11-12,1.81,1.8876,001632
211,2019-11-11,1.8022,1.8798,001632
212,2019-11-08,1.8252,1.9028,001632
213,2019-11-07,1.8185,1.8961,001632
214,2019-11-06,1.81,1.8876,001632
215,2019-11-05,1.8273,1.9049,001632
216,2019-11-04,1.8147,1.8923,001632
217,2019-11-01,1.8017,1.8793,001632
218,2019-10-31,1.7844,1.862,001632
219,2019-10-30,1.7745,1.8521,001632
220,2019-10-29,1.7878,1.8654,001632
221,2019-10-28,1.7684,1.846,001632
222,2019-10-25,1.7448,1.8224,001632
223,2019-10-24,1.7202,1.7978,001632
224,2019-10-23,1.7455,1.8231,001632
225,2019-10-22,1.7639,1.8415,001632
226,2019-10-21,1.7528,1.8304,001632
227,2019-10-18,1.7538,1.8314,001632
228,2019-10-17,1.7713,1.8489,001632
229,2019-10-16,1.7692,1.8468,001632
230,2019-10-15,1.792,1.8696,001632
231,2019-10-15,1.792,1.8696,001632
232,2019-10-14,1.7786,1.8562,001632
233,2019-10-11,1.7714,1.849,001632
234,2019-10-10,1.7661,1.8437,001632
235,2019-10-09,1.7598,1.8374,001632
236,2019-10-08,1.7696,1.8472,001632
237,2019-09-30,1.7586,1.8362,001632
