tradedate,tclose
2018-04-26 00:00:00,3755.49
2018-04-27 00:00:00,3756.88
2018-05-02 00:00:00,3763.65
2018-05-03 00:00:00,3793.00
2018-05-04 00:00:00,3774.60
2018-05-07 00:00:00,3834.19
2018-05-08 00:00:00,3878.68
2018-05-09 00:00:00,3871.62
2018-05-10 00:00:00,3893.06
2018-05-11 00:00:00,3872.84
2018-05-14 00:00:00,3909.29
2018-05-15 00:00:00,3924.10
2018-05-16 00:00:00,3892.84
2018-05-17 00:00:00,3864.05
2018-05-18 00:00:00,3903.06
2018-05-21 00:00:00,3921.24
2018-05-22 00:00:00,3906.21
2018-05-23 00:00:00,3854.58
2018-05-24 00:00:00,3827.22
2018-05-25 00:00:00,3816.50
2018-05-28 00:00:00,3833.26
2018-05-29 00:00:00,3804.01
2018-05-30 00:00:00,3723.37
2018-05-31 00:00:00,3802.38
2018-06-01 00:00:00,3770.59
2018-06-04 00:00:00,3807.58
2018-06-05 00:00:00,3845.32
2018-06-06 00:00:00,3837.35
2018-06-07 00:00:00,3831.01
2018-06-08 00:00:00,3779.62
2018-06-11 00:00:00,3779.98
2018-06-12 00:00:00,3825.95
2018-06-13 00:00:00,3788.34
2018-06-14 00:00:00,3773.37
2018-06-15 00:00:00,3753.43
2018-06-19 00:00:00,3621.12
2018-06-20 00:00:00,3635.44
2018-06-21 00:00:00,3592.97
2018-06-22 00:00:00,3608.90
2018-06-25 00:00:00,3560.48
2018-06-26 00:00:00,3531.11
2018-06-27 00:00:00,3459.26
2018-06-28 00:00:00,3423.53
2018-06-29 00:00:00,3510.98
2018-07-02 00:00:00,3407.96
2018-07-03 00:00:00,3409.28
2018-07-04 00:00:00,3363.75
2018-07-05 00:00:00,3342.44
2018-07-06 00:00:00,3365.12
2018-07-09 00:00:00,3459.18
2018-07-10 00:00:00,3467.52
2018-07-11 00:00:00,3407.53
2018-07-12 00:00:00,3481.06
2018-07-13 00:00:00,3492.69
2018-07-16 00:00:00,3472.09
2018-07-17 00:00:00,3449.38
2018-07-18 00:00:00,3431.32
2018-07-19 00:00:00,3428.34
2018-07-20 00:00:00,3492.89
2018-07-23 00:00:00,3525.75
2018-07-24 00:00:00,3581.71
2018-07-25 00:00:00,3577.75
2018-07-26 00:00:00,3536.25
2018-07-27 00:00:00,3521.23
2018-07-30 00:00:00,3515.08
2018-07-31 00:00:00,3517.66
2018-08-01 00:00:00,3447.39
2018-08-02 00:00:00,3370.96
2018-08-03 00:00:00,3315.28
2018-08-06 00:00:00,3273.27
2018-08-07 00:00:00,3368.87
2018-08-08 00:00:00,3314.51
2018-08-09 00:00:00,3397.53
2018-08-10 00:00:00,3405.02
2018-08-13 00:00:00,3390.34
2018-08-14 00:00:00,3372.91
2018-08-15 00:00:00,3291.98
2018-08-16 00:00:00,3276.73
2018-08-17 00:00:00,3229.62
2018-08-20 00:00:00,3267.25
2018-08-21 00:00:00,3326.65
2018-08-22 00:00:00,3307.95
2018-08-23 00:00:00,3320.03
2018-08-24 00:00:00,3325.33
2018-08-27 00:00:00,3406.57
2018-08-28 00:00:00,3400.17
2018-08-29 00:00:00,3386.57
2018-08-30 00:00:00,3351.09
2018-08-31 00:00:00,3334.50
2018-09-03 00:00:00,3321.82
2018-09-04 00:00:00,3363.90
2018-09-05 00:00:00,3298.14
2018-09-06 00:00:00,3262.88
2018-09-07 00:00:00,3277.64
2018-09-10 00:00:00,3230.07
2018-09-11 00:00:00,3224.21
2018-09-12 00:00:00,3202.02
2018-09-13 00:00:00,3236.57
2018-09-14 00:00:00,3242.09
2018-09-17 00:00:00,3204.92
2018-09-18 00:00:00,3269.43
2018-09-19 00:00:00,3312.48
2018-09-20 00:00:00,3310.13
2018-09-21 00:00:00,3410.49
2018-09-25 00:00:00,3379.80
